Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
 ,MaOEA-DS,MaOEA-DES,RVEA,NSGA-III,MOEA/DD,1by1EA,MOMBI-II,KnEA,tDEA
1,1.591e-03(3.66e-05)[1] ,1.476e-03(4.35e-05)[2]+,7.930e-04(7.31e-05)[8]+,1.253e-03(4.81e-05)[4]+,3.439e-04(1.09e-04)[9]+,8.339e-04(4.96e-05)[7]+,1.086e-03(4.45e-05)[6]+,1.260e-03(5.57e-05)[3]+,1.186e-03(4.99e-05)[5]+
2,1.054e-03(4.59e-05)[1] ,9.415e-04(4.15e-05)[2]+,3.122e-04(5.57e-05)[8]+,7.677e-04(5.23e-05)[3]+,1.205e-04(3.77e-05)[9]+,3.988e-04(7.57e-05)[7]+,6.676e-04(4.13e-05)[6]+,7.443e-04(5.69e-05)[5]+,7.454e-04(5.38e-05)[4]+
3,8.582e-04(4.62e-05)[1] ,7.819e-04(5.13e-05)[2]+,1.705e-04(3.45e-05)[8]+,5.108e-04(5.93e-05)[5]+,6.400e-05(1.94e-05)[9]+,2.077e-04(3.46e-05)[7]+,5.255e-04(3.98e-05)[4]+,4.928e-04(4.18e-05)[6]+,6.061e-04(3.42e-05)[3]+
4,6.185e-04(3.44e-05)[1] ,5.660e-04(3.26e-05)[2]+,9.268e-05(1.76e-05)[8]+,3.553e-04(4.16e-05)[5]+,3.574e-05(9.88e-06)[9]+,1.634e-04(3.13e-05)[7]+,3.938e-04(3.38e-05)[4]+,2.821e-04(5.88e-05)[6]+,4.584e-04(3.70e-05)[3]+
5,3.073e-03(1.23e-04)[1] ,2.780e-03(1.00e-04)[2]+,1.595e-03(1.68e-04)[7]+,2.438e-03(1.68e-04)[4]+,4.396e-04(1.84e-04)[9]+,1.591e-03(1.22e-04)[8]+,2.011e-03(1.66e-04)[6]+,2.443e-03(2.09e-04)[3]+,2.374e-03(9.55e-05)[5]+
6,1.169e-03(5.66e-05)[1] ,1.018e-03(6.10e-05)[2]+,2.617e-04(6.04e-05)[8]+,7.381e-04(7.13e-05)[4]+,1.095e-04(3.62e-05)[9]+,3.854e-04(4.86e-05)[7]+,7.087e-04(7.95e-05)[5]+,6.955e-04(7.79e-05)[6]+,8.380e-04(6.95e-05)[3]+
7,2.674e-04(5.69e-06)[1] ,2.281e-04(6.95e-06)[2]+,8.535e-05(9.36e-06)[8]+,1.838e-04(7.51e-06)[5]+,3.739e-05(8.48e-06)[9]+,9.429e-05(9.73e-06)[7]+,1.728e-04(8.77e-06)[6]+,1.877e-04(1.31e-05)[4]+,1.942e-04(8.33e-06)[3]+
8,5.530e-04(2.13e-05)[1] ,4.999e-04(2.57e-05)[2]+,1.178e-04(2.26e-05)[8]+,3.442e-04(2.75e-05)[5]+,5.130e-05(1.35e-05)[9]+,1.573e-04(2.29e-05)[7]+,3.594e-04(2.34e-05)[4]+,3.131e-04(3.25e-05)[6]+,4.156e-04(2.49e-05)[3]+
9,3.691e-03(1.58e-04)[1] ,3.303e-03(2.04e-04)[2]+,1.522e-03(1.85e-04)[8]+,2.729e-03(1.34e-04)[5]+,5.069e-04(1.52e-04)[9]+,1.776e-03(2.13e-04)[7]+,2.270e-03(1.88e-04)[6]+,2.750e-03(2.76e-04)[4]+,2.801e-03(1.59e-04)[3]+
10,1.723e-03(6.37e-05)[1] ,1.474e-03(1.03e-04)[2]+,4.721e-04(8.72e-05)[8]+,1.213e-03(1.29e-04)[5]+,1.717e-04(5.90e-05)[9]+,5.645e-04(1.07e-04)[7]+,1.134e-03(9.71e-05)[6]+,1.222e-03(1.18e-04)[4]+,1.322e-03(8.02e-05)[3]+
11,1.130e-03(3.79e-05)[1] ,1.019e-03(4.71e-05)[2]+,3.339e-04(5.60e-05)[8]+,7.789e-04(5.09e-05)[5]+,1.272e-04(3.53e-05)[9]+,4.689e-04(6.74e-05)[7]+,7.881e-04(4.84e-05)[4]+,6.726e-04(9.10e-05)[6]+,8.525e-04(5.26e-05)[3]+
12,2.528e-04(7.93e-06)[1] ,2.312e-04(1.28e-05)[2]+,7.407e-05(9.70e-06)[8]+,1.682e-04(1.19e-05)[5]+,3.027e-05(6.14e-06)[9]+,8.531e-05(1.17e-05)[7]+,1.736e-04(1.15e-05)[4]+,1.641e-04(9.04e-06)[6]+,1.936e-04(6.26e-06)[3]+
13,2.113e-03(6.24e-05)[1] ,1.913e-03(7.01e-05)[2]+,7.040e-04(8.70e-05)[8]+,1.682e-03(9.75e-05)[3]+,3.649e-04(8.65e-05)[9]+,8.455e-04(7.85e-05)[7]+,1.282e-03(8.97e-05)[6]+,1.662e-03(1.03e-04)[4]+,1.649e-03(6.30e-05)[5]+
14,8.104e-04(2.86e-05)[1] ,6.788e-04(3.60e-05)[2]+,2.915e-04(4.29e-05)[8]+,6.279e-04(2.89e-05)[3]+,1.498e-04(3.90e-05)[9]+,3.398e-04(4.62e-05)[7]+,5.743e-04(2.96e-05)[5]+,5.528e-04(4.33e-05)[6]+,6.149e-04(2.50e-05)[4]+
15,1.303e-03(7.25e-05)[1] ,1.155e-03(7.66e-05)[2]+,2.746e-04(5.67e-05)[8]+,8.276e-04(6.43e-05)[5]+,1.230e-04(3.04e-05)[9]+,3.691e-04(6.15e-05)[7]+,8.818e-04(6.45e-05)[4]+,6.745e-04(1.11e-04)[6]+,9.969e-04(6.26e-05)[3]+
16,8.556e-04(4.94e-05)[1] ,7.624e-04(4.89e-05)[2]+,1.671e-04(3.55e-05)[8]+,4.818e-04(4.27e-05)[5]+,7.085e-05(1.65e-05)[9]+,2.677e-04(3.16e-05)[7]+,5.659e-04(4.35e-05)[4]+,4.279e-04(5.96e-05)[6]+,6.324e-04(3.70e-05)[3]+
,,16/0/0,16/0/0,16/0/0,16/0/0,16/0/0,16/0/0,16/0/0,16/0/0
